Title,Year,Metacritic,"Sequel, remake, or otherwise based on well-established IP (NOT THE SAME AS ADAPTED)",Subjective Field: Acclaimed Filmmaker,Majority Black Cast / Queer Themes (test to see if this field accurately captures snubs such as If Beale Street Could Talk or Carol),Foreign Language,SpiritNom,Spirit,AstraNom,Astra,AstraCnt,AstraDirNom,AstraDirWin,SAGNom,SAG,DGANom,DGA,WGANom,WGA,PGANom,PGA,CCNom,CCTotalNom,CC,NBRNom,NBR,AFI,GGDirectorNom,GGDirector,GGDramaNom,GGDrama,GGComedyNom,GGComedy,BAFTANom,BAFTA,BAFTACnt,LAFCA,NYFCC,NSFC,Palme dOr,TIFF,Golden Lion,Best Picture Nominee,OscarNoms,DirectingNom,ActingNom,ScreenplayNom,EditingNom,Win
Sound of Metal,2020,82,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,1,0,1,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,1,1,1,0
Borat Subsequent Moviefilm,2020,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
News of the World,2020,73,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
The White Tiger,2020,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
First Cow,2020,90,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Fourty Year Old Version,2020,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Sky,2020,38,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul,2020,83,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
The Father,2020,88,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,6,0,1,1,1,0
Hamilton,2020,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Music,2020,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prom,2020,55,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mauritanian,2020,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocks,2020,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dig,2020,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Another Round,2020,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Parasite,2019,97,0,0,0,1,0,0,1,0,5,1,0,1,1,1,0,1,1,1,0,1,7,0,0,0,1,1,0,0,0,0,0,1,0,4,1,0,1,1,0,0,1,6,1,0,1,1,1
Bombshell,2019,64,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
The Irishman,2019,94,0,1,0,0,0,0,1,0,9,1,0,1,0,1,0,1,0,1,0,1,14,0,1,1,1,1,0,1,0,0,0,1,0,10,0,1,0,0,0,0,1,10,1,1,1,1,0
Jojo Rabbit,2019,58,0,0,0,0,0,0,1,0,5,1,0,1,0,1,0,1,1,1,0,1,7,0,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,6,0,0,1,1,0
Once Upon a Time in Hollywood,2019,84,0,1,0,0,0,0,1,0,12,1,0,1,0,1,0,0,0,1,0,1,12,1,1,0,1,1,0,0,0,1,1,1,0,10,0,0,0,0,0,0,1,10,1,1,1,0,0
1917,2019,78,0,1,0,0,0,0,1,1,7,0,0,0,0,1,1,1,0,1,1,1,8,0,0,0,1,1,1,1,1,0,0,1,1,9,0,0,0,0,0,0,1,10,0,0,1,0,0
Booksmart,2019,84,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Knives Out,2019,82,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Marriage Story,2019,94,0,1,0,0,1,0,1,0,6,1,1,0,0,0,0,1,0,1,0,1,8,0,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,6,0,1,1,0,0
Joker,2019,59,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,1,0,1,7,0,0,0,1,1,0,1,0,0,0,1,0,11,0,0,0,0,0,1,1,11,1,1,1,1,0
Little Women,2019,91,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,0,1,1,0,0
A Beautiful Day in the Neighborhood,2019,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford v Ferrari,2019,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,1,0
Uncut Gems,2019,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolemite is my Name,2019,76,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Jewell,2019,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waves,2019,80,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Two Popes,2019,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocketman,2019,69,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
For Sama,2019,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
The Farewell,2019,89,0,0,0,1,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther ,2018,88,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,12,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0
BlackkKlansman,2018,83,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,4,0,0,0,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,1,6,1,1,1,1,0
Bohemian Rhapsody,2018,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,1,5,0,1,0,1,0
Crazy Rich Asians,2018,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Star is Born,2018,88,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,9,0,1,0,1,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,8,0,1,1,0,0
Roma,2018,96,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,8,1,1,0,1,1,1,0,0,0,0,1,1,7,1,1,0,0,0,1,1,10,1,1,1,0,0
Green Book,2018,69,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,7,0,1,1,1,1,0,0,0,1,1,1,0,4,0,0,0,0,1,0,1,5,0,1,1,1,1
Vice,2018,67,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,9,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,8,1,1,1,1,0
Eighth Grade,2018,85,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Quiet Place,2018,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Can You Ever Forgive Me?,2018,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
If Beale Street Could Talk,2018,87,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
The Favourite,2018,91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,1,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,1,10,1,1,1,1,0
First Man,2018,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Poppins Returns,2018,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ballad of Buster Scruggs,2018,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hate U Give,2018,81,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Reformed,2018,86,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold War,2018,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Mary Queen of Scots,2018,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Stan and Ollie,2018,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Dogs,2018,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rider,2018,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shoplifters,2018,93,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
